question_text,category,is_active,for_backend_track,for_frontend_track,for_leadership_track,for_custom_sessions
"Who is most likely to work through lunch without noticing?",Work Habits,1,1,1,0,1
"Who is most likely to have 47 browser tabs open at once?",Work Habits,1,1,1,0,1
"Who is most likely to organize their code like they organize their life?",Personality,1,1,1,0,1
"Who is most likely to arrive early and stay late without being asked?",Work Habits,1,0,0,1,1
"Who is most likely to turn a 5-minute standup into a 30-minute discussion?",Teamwork,1,0,0,1,1
"Who is most likely to have the cleanest desk in the office?",Personality,1,0,0,1,1
"Who is most likely to remember everyone's birthday?",Personality,1,0,0,1,1
"Who is most likely to solve a problem by restarting their computer?",Technical,1,1,1,0,1
"Who is most likely to have strong opinions about code formatting?",Professional,1,1,0,0,1
"Who is most likely to write documentation that others actually read?",Professional,1,1,0,0,1
"Who is most likely to find a bug in production at 2 AM?",Technical,1,1,0,0,1
"Who is most likely to optimize code that already works perfectly?",Technical,1,1,0,0,1
"Who is most likely to name their variables after food items?",Creative,1,1,1,0,1
"Who is most likely to have a rubber duck on their desk for debugging?",Fun,1,1,0,0,1
"Who is most likely to refuse to use Internet Explorer even for testing?",Professional,1,0,1,0,1
"Who is most likely to spend an hour perfecting a CSS animation?",Creative,1,0,1,0,1
"Who is most likely to have strong opinions about which JavaScript framework is best?",Professional,1,0,1,0,1
"Who is most likely to test their website on every possible device?",Professional,1,0,1,0,1
"Who is most likely to create a beautiful design that breaks on mobile?",Creative,1,0,1,0,1
"Who is most likely to use Comic Sans in a professional presentation?",Fun,1,0,1,0,1
"Who is most likely to delegate tasks effectively?",Leadership,1,0,0,1,1
"Who is most likely to give constructive feedback?",Leadership,1,0,0,1,1
"Who is most likely to mediate conflicts between team members?",Leadership,1,0,0,1,1
"Who is most likely to take initiative on new projects?",Leadership,1,0,0,1,1
"Who is most likely to mentor junior team members?",Leadership,1,0,0,1,1
"Who is most likely to make data-driven decisions?",Leadership,1,0,0,1,1
"Who is most likely to bring snacks for the whole team?",Teamwork,1,1,1,1,1
"Who is most likely to help others debug their code?",Teamwork,1,1,1,0,1
"Who is most likely to volunteer for the difficult tasks?",Teamwork,1,1,1,1,1
"Who is most likely to share useful articles with the team?",Teamwork,1,1,1,1,1
"Who is most likely to organize team building activities?",Teamwork,1,0,0,1,1
"Who is most likely to remember to update the team chat?",Teamwork,1,1,1,1,1
